c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Douglas,Moreira,17.0,,Meio-Campo,Gremio
Hugo,Souza,1.0,31/1/1999,Goleiro,Corinthians
Reinaldo,Silva,6.0,25/5/1984,Zagueiro,Gremio
Jose,Martinez,70.0,,Meio-Campo,Corinthians
Andre,Carrillo,19.0,,Meio-Campo,Corinthians
Matheus,Bidu,21.0,4/5/1999,Zagueiro,Corinthians
Miguel,Monsalve,11.0,,Meio-Campo,Gremio
Brahian,Palacios,30.0,,Atacante,Atletico-Mg
Igor,Gomes,17.0,17/3/1999,Meio-Campo,Atletico-Mg
Agustin,Canobbio,14.0,1/10/1998,Meio-Campo,Athletico-Pr
Thiago,Heleno,44.0,19/9/1988,Zagueiro,Athletico-Pr
Everson,,22.0,22/7/1990,Goleiro,Atletico-Mg
Carlos,Souza,96.0,,Atacante,Vitoria
Lucas,Souza,43.0,6/1/1998,Zagueiro,Vitoria
Adriel,,23.0,14/1/2001,Goleiro,Bahia
Yago,Rocha,20.0,22/5/1994,Meio-Campo,Bahia
Gonzalo,Freitas,5.0,,Meio-Campo,Atletico-Go
Nicolas,Acevedo,26.0,,Meio-Campo,Bahia
Everaldo,Stum,9.0,,Atacante,Bahia
Kaiki,Bruno,6.0,,Zagueiro,Cruzeiro
Gabriel,Veron,30.0,,Meio-Campo,Cruzeiro
Alan,Ruschel,28.0,23/8/1989,Zagueiro,Juventude
Marcelo,Filho,11.0,,Atacante,Juventude
Matheus,Pereira,10.0,21/12/2000,Atacante,Cruzeiro
Lucas,Barbosa,21.0,22/2/2001,Meio-Campo,Juventude
Walter,Artune,1.0,,Goleiro,Cuiaba
Ramon,Lima,23.0,,Zagueiro,Cuiaba
Facundo,Bernal,5.0,,Meio-Campo,Fluminense
Keno,,11.0,10/9/1989,Atacante,Fluminense
Eliel,,11.0,16/11/2001,Meio-Campo,Cuiaba
Alan,Empereur,33.0,10/3/1994,Zagueiro,Cuiaba
Kevin,Serna,90.0,,Meio-Campo,Fluminense
Vinicinho,,54.0,,Meio-Campo,Bragantino
Jadsom,,5.0,20/5/2001,Meio-Campo,Bragantino
